classifier,var,acc_raw_clean,acc_raw_att,acc_acra_att
nn,0.1,0.6458333333333334,0.3125,0.9166666666666666
gb,0.1,0.75,0.30833333333333335,0.4166666666666667
rf,0.1,0.7125,0.2708333333333333,0.22916666666666666
adaboost,0.1,0.75,0.31666666666666665,0.4125
