classifier,var,acc_raw_clean,acc_raw_att,acc_acra_att
nb,0.1,0.7,0.26666666666666666,0.9333333333333333
nn,0.1,0.6133333333333333,0.15333333333333332,0.5466666666666666
svm,0.1,0.72,0.41333333333333333,0.64
lr,0.1,0.5733333333333334,0.08,0.32
rf,0.1,0.7,0.35333333333333333,0.86
