classifier,var,acc_raw_clean,acc_raw_att,acc_acra_att
nb,0.1,0.7208333333333333,0.30833333333333335,0.9916666666666667
nn,0.1,0.7041666666666667,0.2875,0.6208333333333333
svm,0.1,0.7375,0.2833333333333333,0.425
lr,0.1,0.75,0.3,0.5541666666666667
rf,0.1,0.7083333333333334,0.29583333333333334,0.8041666666666667
