flag,acc_raw_clean,acc_raw_att,acc_acra_att_low_var,acc_acra_att_high_var
nb,0.7166666666666667,0.2875,0.6,0.625
nn,0.7125,0.2833333333333333,0.6583333333333333,0.7083333333333334
svm,0.75,0.29583333333333334,0.5208333333333334,0.49166666666666664
lr,0.7291666666666666,0.2791666666666667,0.45,0.475
rf,0.7375,0.30416666666666664,0.7291666666666666,0.675
