classifier,var,acc_raw_clean,acc_raw_att,acc_acra_att
nb,0.1,0.6625,0.4,0.7333333333333333
nn,0.1,0.525,0.4041666666666667,0.5208333333333334
svm,0.1,0.6791666666666667,0.4375,0.6666666666666666
lr,0.1,0.675,0.4,0.8416666666666667
rf,0.1,0.6291666666666667,0.3458333333333333,0.7958333333333333
